taxID,superkingdom,kingdom,subkingdom,superphylum,phylum,subphylum,infraphylum,superclass,class,subclass,infraclass,cohort,subcohort,superorder,order,suborder,infraorder,parvorder,superfamily,family,subfamily,tribe,subtribe,genus,subgenus,section,subsection,series,subseries,species_group,species_subgroup,species,forma_specialis,subspecies,varietas,subvariety,forma,serogroup,serotype,strain,isolate
32,Bacteria,Kin_of_Pseudomonadota,sbKin_of_Pseudomonadota,spPhy_of_Pseudomonadota,Pseudomonadota,delta/epsilon subdivisions,inPhy_of_Deltaproteobacteria,spCla_of_Deltaproteobacteria,Deltaproteobacteria,sbCla_of_Myxococcales,inCla_of_Myxococcales,Coh_of_Myxococcales,sbCoh_of_Myxococcales,spOrd_of_Myxococcales,Myxococcales,Cystobacterineae,inOrd_of_Myxococcaceae,prOrd_of_Myxococcaceae,spFam_of_Myxococcaceae,Myxococcaceae,sbFam_of_Myxococcus,Tri_of_Myxococcus,sbTri_of_Myxococcus,Myxococcus,sbGen_in_Myxococcus,Sec_in_Myxococcus,sbSec_in_Myxococcus,Ser_in_Myxococcus,sbSer_in_Myxococcus,Sgr_in_Myxococcus,sbSgr_in_Myxococcus,Spe_in_Myxococcus,Fsp_in_Myxococcus,sbSpe_in_Myxococcus,Var_in_Myxococcus,sbVar_in_Myxococcus,For_in_Myxococcus,Srg_in_Myxococcus,Srt_in_Myxococcus,Str_in_Myxococcus,Iso_in_Myxococcus
33,Bacteria,Kin_of_Pseudomonadota,sbKin_of_Pseudomonadota,spPhy_of_Pseudomonadota,Pseudomonadota,delta/epsilon subdivisions,inPhy_of_Deltaproteobacteria,spCla_of_Deltaproteobacteria,Deltaproteobacteria,sbCla_of_Myxococcales,inCla_of_Myxococcales,Coh_of_Myxococcales,sbCoh_of_Myxococcales,spOrd_of_Myxococcales,Myxococcales,Cystobacterineae,inOrd_of_Myxococcaceae,prOrd_of_Myxococcaceae,spFam_of_Myxococcaceae,Myxococcaceae,sbFam_of_Myxococcus,Tri_of_Myxococcus,sbTri_of_Myxococcus,Myxococcus,sbGen_of_Myxococcus fulvus,Sec_of_Myxococcus fulvus,sbSec_of_Myxococcus fulvus,Ser_of_Myxococcus fulvus,sbSer_of_Myxococcus fulvus,Sgr_of_Myxococcus fulvus,sbSgr_of_Myxococcus fulvus,Myxococcus fulvus,Fsp_in_Myxococcus fulvus,sbSpe_in_Myxococcus fulvus,Var_in_Myxococcus fulvus,sbVar_in_Myxococcus fulvus,For_in_Myxococcus fulvus,Srg_in_Myxococcus fulvus,Srt_in_Myxococcus fulvus,Str_in_Myxococcus fulvus,Iso_in_Myxococcus fulvus
63,Bacteria,Kin_of_Pseudomonadota,sbKin_of_Pseudomonadota,spPhy_of_Pseudomonadota,Pseudomonadota,sbPhy_of_Betaproteobacteria,inPhy_of_Betaproteobacteria,spCla_of_Betaproteobacteria,Betaproteobacteria,sbCla_of_Neisseriales,inCla_of_Neisseriales,Coh_of_Neisseriales,sbCoh_of_Neisseriales,spOrd_of_Neisseriales,Neisseriales,sbOrd_of_Neisseriaceae,inOrd_of_Neisseriaceae,prOrd_of_Neisseriaceae,spFam_of_Neisseriaceae,Neisseriaceae,sbFam_of_Vitreoscilla,Tri_of_Vitreoscilla,sbTri_of_Vitreoscilla,Vitreoscilla,sbGen_of_Vitreoscilla filiformis,Sec_of_Vitreoscilla filiformis,sbSec_of_Vitreoscilla filiformis,Ser_of_Vitreoscilla filiformis,sbSer_of_Vitreoscilla filiformis,Sgr_of_Vitreoscilla filiformis,sbSgr_of_Vitreoscilla filiformis,Vitreoscilla filiformis,Fsp_in_Vitreoscilla filiformis,sbSpe_in_Vitreoscilla filiformis,Var_in_Vitreoscilla filiformis,sbVar_in_Vitreoscilla filiformis,For_in_Vitreoscilla filiformis,Srg_in_Vitreoscilla filiformis,Srt_in_Vitreoscilla filiformis,Str_in_Vitreoscilla filiformis,Iso_in_Vitreoscilla filiformis
71,Bacteria,Kin_of_Pseudomonadota,sbKin_of_Pseudomonadota,spPhy_of_Pseudomonadota,Pseudomonadota,sbPhy_of_Betaproteobacteria,inPhy_of_Betaproteobacteria,spCla_of_Betaproteobacteria,Betaproteobacteria,sbCla_of_Neisseriales,inCla_of_Neisseriales,Coh_of_Neisseriales,sbCoh_of_Neisseriales,spOrd_of_Neisseriales,Neisseriales,sbOrd_of_Neisseriaceae,inOrd_of_Neisseriaceae,prOrd_of_Neisseriaceae,spFam_of_Neisseriaceae,Neisseriaceae,sbFam_of_Simonsiella,Tri_of_Simonsiella,sbTri_of_Simonsiella,Simonsiella,sbGen_in_Simonsiella,Sec_in_Simonsiella,sbSec_in_Simonsiella,Ser_in_Simonsiella,sbSer_in_Simonsiella,Sgr_in_Simonsiella,sbSgr_in_Simonsiella,Spe_in_Simonsiella,Fsp_in_Simonsiella,sbSpe_in_Simonsiella,Var_in_Simonsiella,sbVar_in_Simonsiella,For_in_Simonsiella,Srg_in_Simonsiella,Srt_in_Simonsiella,Str_in_Simonsiella,Iso_in_Simonsiella
458839,Bacteria,Kin_Terrabacteria group,sbKin_of_Actinomycetota,spPhy_of_Actinomycetota,Actinomycetota,sbPhy_of_Actinomycetes,inPhy_of_Actinomycetes,spCla_of_Actinomycetes,Actinomycetes,sbCla_of_Micrococcales,inCla_of_Micrococcales,Coh_of_Micrococcales,sbCoh_of_Micrococcales,spOrd_of_Micrococcales,Micrococcales,sbOrd_of_Cellulomonadaceae,inOrd_of_Cellulomonadaceae,prOrd_of_Cellulomonadaceae,spFam_of_Cellulomonadaceae,Cellulomonadaceae,sbFam_of_Actinotalea,Tri_of_Actinotalea,sbTri_of_Actinotalea,Actinotalea,sbGen_in_Actinotalea,Sec_in_Actinotalea,sbSec_in_Actinotalea,Ser_in_Actinotalea,sbSer_in_Actinotalea,Sgr_in_Actinotalea,sbSgr_in_Actinotalea,Spe_in_Actinotalea,Fsp_in_Actinotalea,sbSpe_in_Actinotalea,Var_in_Actinotalea,sbVar_in_Actinotalea,For_in_Actinotalea,Srg_in_Actinotalea,Srt_in_Actinotalea,Str_in_Actinotalea,Iso_in_Actinotalea
118,Bacteria,Kin_PVC group,sbKin_of_Planctomycetota,spPhy_of_Planctomycetota,Planctomycetota,sbPhy_of_Planctomycetia,inPhy_of_Planctomycetia,spCla_of_Planctomycetia,Planctomycetia,sbCla_of_Planctomycetales,inCla_of_Planctomycetales,Coh_of_Planctomycetales,sbCoh_of_Planctomycetales,spOrd_of_Planctomycetales,Planctomycetales,sbOrd_of_Planctomycetaceae,inOrd_of_Planctomycetaceae,prOrd_of_Planctomycetaceae,spFam_of_Planctomycetaceae,Planctomycetaceae,sbFam_of_Planctomyces,Tri_of_Planctomyces,sbTri_of_Planctomyces,Planctomyces,sbGen_in_Planctomyces,Sec_in_Planctomyces,sbSec_in_Planctomyces,Ser_in_Planctomyces,sbSer_in_Planctomyces,Sgr_in_Planctomyces,sbSgr_in_Planctomyces,Spe_in_Planctomyces,Fsp_in_Planctomyces,sbSpe_in_Planctomyces,Var_in_Planctomyces,sbVar_in_Planctomyces,For_in_Planctomyces,Srg_in_Planctomyces,Srt_in_Planctomyces,Str_in_Planctomyces,Iso_in_Planctomyces
7,Bacteria,Kin_of_Pseudomonadota,sbKin_of_Pseudomonadota,spPhy_of_Pseudomonadota,Pseudomonadota,sbPhy_of_Alphaproteobacteria,inPhy_of_Alphaproteobacteria,spCla_of_Alphaproteobacteria,Alphaproteobacteria,sbCla_of_Hyphomicrobiales,inCla_of_Hyphomicrobiales,Coh_of_Hyphomicrobiales,sbCoh_of_Hyphomicrobiales,spOrd_of_Hyphomicrobiales,Hyphomicrobiales,sbOrd_of_Xanthobacteraceae,inOrd_of_Xanthobacteraceae,prOrd_of_Xanthobacteraceae,spFam_of_Xanthobacteraceae,Xanthobacteraceae,sbFam_of_Azorhizobium,Tri_of_Azorhizobium,sbTri_of_Azorhizobium,Azorhizobium,sbGen_of_Azorhizobium caulinodans,Sec_of_Azorhizobium caulinodans,sbSec_of_Azorhizobium caulinodans,Ser_of_Azorhizobium caulinodans,sbSer_of_Azorhizobium caulinodans,Sgr_of_Azorhizobium caulinodans,sbSgr_of_Azorhizobium caulinodans,Azorhizobium caulinodans,Fsp_in_Azorhizobium caulinodans,sbSpe_in_Azorhizobium caulinodans,Var_in_Azorhizobium caulinodans,sbVar_in_Azorhizobium caulinodans,For_in_Azorhizobium caulinodans,Srg_in_Azorhizobium caulinodans,Srt_in_Azorhizobium caulinodans,Str_in_Azorhizobium caulinodans,Iso_in_Azorhizobium caulinodans
1802340,Bacteria,Kin_Nitrospinae/Tectomicrobia group,sbKin_in_Nitrospinae/Tectomicrobia group,spPhy_in_Nitrospinae/Tectomicrobia group,Phy_in_Nitrospinae/Tectomicrobia group,sbPhy_in_Nitrospinae/Tectomicrobia group,inPhy_in_Nitrospinae/Tectomicrobia group,spCla_in_Nitrospinae/Tectomicrobia group,Cla_in_Nitrospinae/Tectomicrobia group,sbCla_in_Nitrospinae/Tectomicrobia group,inCla_in_Nitrospinae/Tectomicrobia group,Coh_in_Nitrospinae/Tectomicrobia group,sbCoh_in_Nitrospinae/Tectomicrobia group,spOrd_in_Nitrospinae/Tectomicrobia group,Ord_in_Nitrospinae/Tectomicrobia group,sbOrd_in_Nitrospinae/Tectomicrobia group,inOrd_in_Nitrospinae/Tectomicrobia group,prOrd_in_Nitrospinae/Tectomicrobia group,spFam_in_Nitrospinae/Tectomicrobia group,Fam_in_Nitrospinae/Tectomicrobia group,sbFam_in_Nitrospinae/Tectomicrobia group,Tri_in_Nitrospinae/Tectomicrobia group,sbTri_in_Nitrospinae/Tectomicrobia group,Gen_in_Nitrospinae/Tectomicrobia group,sbGen_in_Nitrospinae/Tectomicrobia group,Sec_in_Nitrospinae/Tectomicrobia group,sbSec_in_Nitrospinae/Tectomicrobia group,Ser_in_Nitrospinae/Tectomicrobia group,sbSer_in_Nitrospinae/Tectomicrobia group,Sgr_in_Nitrospinae/Tectomicrobia group,sbSgr_in_Nitrospinae/Tectomicrobia group,Spe_in_Nitrospinae/Tectomicrobia group,Fsp_in_Nitrospinae/Tectomicrobia group,sbSpe_in_Nitrospinae/Tectomicrobia group,Var_in_Nitrospinae/Tectomicrobia group,sbVar_in_Nitrospinae/Tectomicrobia group,For_in_Nitrospinae/Tectomicrobia group,Srg_in_Nitrospinae/Tectomicrobia group,Srt_in_Nitrospinae/Tectomicrobia group,Str_in_Nitrospinae/Tectomicrobia group,Iso_in_Nitrospinae/Tectomicrobia group
65550,Eukaryota,Viridiplantae,sbKin_of_Streptophyta,spPhy_of_Streptophyta,Streptophyta,Streptophytina,inPhy_of_Embryophyta,spCla_Embryophyta,Bryopsida,Dicranidae,inCla_of_Grimmiales,Coh_of_Grimmiales,sbCoh_of_Grimmiales,spOrd_of_Grimmiales,Grimmiales,sbOrd_of_Grimmiaceae,inOrd_of_Grimmiaceae,prOrd_of_Grimmiaceae,spFam_of_Grimmiaceae,Grimmiaceae,sbFam_in_Grimmiaceae,Tri_in_Grimmiaceae,sbTri_in_Grimmiaceae,Gen_in_Grimmiaceae,sbGen_in_Grimmiaceae,Sec_in_Grimmiaceae,sbSec_in_Grimmiaceae,Ser_in_Grimmiaceae,sbSer_in_Grimmiaceae,Sgr_in_Grimmiaceae,sbSgr_in_Grimmiaceae,Spe_in_Grimmiaceae,Fsp_in_Grimmiaceae,sbSpe_in_Grimmiaceae,Var_in_Grimmiaceae,sbVar_in_Grimmiaceae,For_in_Grimmiaceae,Srg_in_Grimmiaceae,Srt_in_Grimmiaceae,Str_in_Grimmiaceae,Iso_in_Grimmiaceae
65553,Bacteria,Kin_of_Pseudomonadota,sbKin_of_Pseudomonadota,spPhy_of_Pseudomonadota,Pseudomonadota,delta/epsilon subdivisions,inPhy_of_Epsilonproteobacteria,spCla_of_Epsilonproteobacteria,Epsilonproteobacteria,sbCla_of_Campylobacterales,inCla_of_Campylobacterales,Coh_of_Campylobacterales,sbCoh_of_Campylobacterales,spOrd_of_Campylobacterales,Campylobacterales,sbOrd_of_Sulfurospirillaceae,inOrd_of_Sulfurospirillaceae,prOrd_of_Sulfurospirillaceae,spFam_of_Sulfurospirillaceae,Sulfurospirillaceae,sbFam_of_Sulfurospirillum,Tri_of_Sulfurospirillum,sbTri_of_Sulfurospirillum,Sulfurospirillum,sbGen_of_Sulfurospirillum deleyianum,Sec_of_Sulfurospirillum deleyianum,sbSec_of_Sulfurospirillum deleyianum,Ser_of_Sulfurospirillum deleyianum,sbSer_of_Sulfurospirillum deleyianum,Sgr_of_Sulfurospirillum deleyianum,sbSgr_of_Sulfurospirillum deleyianum,Sulfurospirillum deleyianum,Fsp_in_Sulfurospirillum deleyianum,sbSpe_in_Sulfurospirillum deleyianum,Var_in_Sulfurospirillum deleyianum,sbVar_in_Sulfurospirillum deleyianum,For_in_Sulfurospirillum deleyianum,Srg_in_Sulfurospirillum deleyianum,Srt_in_Sulfurospirillum deleyianum,Str_in_Sulfurospirillum deleyianum,Iso_in_Sulfurospirillum deleyianum
