Name;element_cycle;pH_preference;real_5;;
[Acidovorax] ebreus;N;acidic to alkaline;out;;
Acetobacter;C, N;slightly acidic;2;;
Acetobacterium;C;slightly acidic;2;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4198145/;
Achromobacter;N;unknown;out;;
Achromobacter deleyi;N;unknown;out;;
Achromobacter denitrificans;N;unknown;out;;
Achromobacter insolitus;N;unknown;out;;
Achromobacter spanius;N;unknown;out;;
Achromobacter xylosoxidans;N;unknown;out;;
Acidibrevibacterium;unknown;acidic;1;;
Acidibrevibacterium fodinaquatile;unknown;acidic;1;;
Acidiferrobacter;Fe;unknown;out;;
Acidiferrobacter sp. SPIII_3;Fe;unknown;out;;
Acidihalobacter;Fe, S;acidic;1;;
Acidihalobacter aeolianus;Fe, S;acidic;1;;
Acidihalobacter ferrooxydans;Fe, S;acidic;1;;
Acidihalobacter yilgarnensis;Fe, S;acidic;1;;
Acidiphilium;Fe;acidic;1;;
Acidipropionibacterium;unknown;unknown;out;;
Acidisarcina;C;acidic;1;;
Acidisarcina polymorpha;C;acidic;1;;
Acidithiobacillus;Fe, S;acidic to neutral;2;;
Acidithiobacillus ferrivorans;Fe, S;acidic to neutral;2;;
Acidithiobacillus ferrooxidans;Fe, S;acidic to neutral;2;;
Acidobacteria bacterium;unknown;unknown;out;;
Acidobacteria bacterium Mor1;unknown;unknown;out;;
Acidobacterium;C, N;acidic;1;;
Acidobacterium capsulatum;C, N;acidic;1;;
Acidovorax;N;acidic to alkaline;out;;
Acidovorax antarcticus;N;acidic to alkaline;out;;
Acidovorax avenae;N;acidic to alkaline;out;;
Acidovorax carolinensis;N;acidic to alkaline;out;;
Acidovorax cattleyae;N;acidic to alkaline;out;;
Acidovorax citrulli;N;acidic to alkaline;out;;
Acidovorax monticola;N;acidic to alkaline;out;;
Acidovorax sp. 1608163;N;acidic to alkaline;out;;
Acidovorax sp. HDW3;N;acidic to alkaline;out;;
Acidovorax sp. JMULE5;N;acidic to alkaline;out;;
Acidovorax sp. JS42;N;acidic to alkaline;out;;
Acidovorax sp. KKS102;N;acidic to alkaline;out;;
Acidovorax sp. RAC01;N;acidic to alkaline;out;;
Acidovorax sp. T1;N;acidic to alkaline;out;;
Acinetobacter;C;acidic to slightly alkaline;2;;
Acinetobacter johnsonii;C;acidic to slightly alkaline;2;;
Acinetobacter junii;C;acidic to slightly alkaline;2;;
Acinetobacter lwoffii;C;acidic to slightly alkaline;2;;
Actinoalloteichus;;;;;
Actinobacteria bacterium IMCC19121;unknown;unknown;out;;
Actinobacteria bacterium IMCC26103;unknown;unknown;out;;
Actinobacteria bacterium IMCC26256;unknown;unknown;out;;
Actinomadura;C;unknown;out;;
Actinomyces;C;unknown;out;;
Actinomyces oris;C;unknown;out;;
Actinoplanes;C;neutral;3;;
Actinoplanes friuliensis;C;neutral;3;;
Actinopolymorpha;unknown;unknown;out;;
Actinopolymorpha singaporensis;unknown;unknown;out;;
Advenella;unknown;unknown;out;;
Advenella mimigardefordensis;unknown;unknown;out;;
Aeoliella;unknown;unknown;out;;
Aeoliella mucimassa;unknown;unknown;out;;
Aeromicrobium;unknown;unknown;out;;
Aeromonas;C;unknown;out;;
Aeromonas sp. CA23;C;unknown;out;;
Aerosticca;C;unknown;out;;
Aerosticca soli;C;unknown;out;;
Afipia;C, N;unknown;out;;
Afipia carboxidovorans;C, N;unknown;out;;
Afipia sp. GAS231;N;unknown;out;;
Agrobacterium;C;acidic to neutral;2;;
Agrobacterium rubi;C;acidic to neutral;2;;
Agrobacterium tumefaciens;C;acidic to neutral;2;;
Agrobacterium vitis;C;acidic to neutral;2;;
Agrococcus;unknown;unknown;out;;
Agromyces;C;unknown;out;;
Ahniella;unknown;unknown;out;;
Ahniella affigens;unknown;unknown;out;;
Akkermansia;contaminant;contaminant;out;;skin bacterium
Akkermansiaceae bacterium;contaminant;contaminant;out;;
Alcaligenes;C;neutral;3;;
Alcaligenes faecalis;C;neutral;3;;
Alcanivorax;C;neutral;3;;
Alcanivorax sp.;C;neutral;3;;
