Name;ecology;pH;real_5
[Ashbya] aceris (nom. inval.);yeast;unknown;out
[Candida] auris;yeast;unknown;out
[Candida] glabrata;yeast;unknown;out
[Candida] haemuloni;yeast;unknown;out
[Candida] hispaniensis;yeast;unknown;out
[Candida] intermedia;yeast;unknown;out
[Candida] zeylanoides;yeast;unknown;out
[Hymenula] cerealis;parasite;unknown;out
Aaosphaeria;unknown;unknown;out
Aaosphaeria arxii;unknown;unknown;out
Aaosphaeria arxii CBS 175.79;unknown;unknown;out
Absidia;saprotroph;acidic to slightly alkaline;2
Absidia glauca;saprotroph;acidic to slightly alkaline;2
Acaromyces;parasite;unknown;out
Acaromyces ingoldii;parasite;unknown;out
Acrospermaceae;unknown;unknown;out
Acrospermales;unknown;unknown;out
Agaricaceae;unknown;slightly acidic;2
Agaricales;unknown;slightly acidic;2
Agaricomycetes;unknown;unknown;out
Agaricomycetes incertae sedis;unknown;unknown;out
Agaricomycetidae;unknown;unknown;out
Agaricomycotina;unknown;unknown;out
Agaricostilbales;saprotroph;unknown;out
Agaricostilbomycetes;unknown;unknown;out
Agaricus;saprotroph;slightly acidic;2
Agaricus bisporus;saprotroph;slightly acidic;2
Ajellomycetaceae;parasite;unknown;out
Akanthomyces;contaminant;contaminant;out
Alectoria;lichen;acidic;1
Alectoria fallacina;lichen;acidic;1
Alloascoidea;yeast;unknown;out
Alloascoidea hylecoeti;yeast;unknown;out
Alloascoideaceae;yeast;unknown;out
Alternaria;mould;slightly acidic;2
Alternaria alternata;mould;slightly acidic;2
Alternaria alternata complex;mould;slightly acidic;2
Alternaria arborescens;mould;slightly acidic;2
Alternaria burnsii;mould;slightly acidic;2
Alternaria oxytropis;mould;slightly acidic;2
Alternaria sect. Alternaria;mould;slightly acidic;2
Alternaria sect. Porri;mould;slightly acidic;2
Alternaria solani;mould;slightly acidic;2
Amanita;mycorrhizae;unknown;out
Amanita phalloides;mycorrhizae;unknown;out
Amanitaceae;unknown;unknown;out
Amorphotheca;unknown;unknown;out
Amorphotheca resinae;unknown;unknown;out
Amorphotheca resinae ATCC 22711;unknown;unknown;out
