Name;assignment;pH;ref_pH;real_5;
(Populus tomentosa x Populus bolleana) x Populus tomentosa;contaminant;out;out;out;
(Populus tomentosa x Populus bolleana) x Populus tomentosa var. truncata;contaminant;out;out;out;
Abatia;contaminant;out;out;out;
Abatia parviflora;contaminant;out;out;out;
Abies;tree;slightly acidic;https://pfaf.org/user/Plant.aspx?LatinName=Abies+sibirica;2;
Abies alba;contaminant;out;out;out;
Abies sibirica;tree;slightly acidic;https://pfaf.org/user/Plant.aspx?LatinName=Abies+sibirica;2;
Abrus;contaminant;out;out;out;
Abrus precatorius;contaminant;out;out;out;
Acacia;contaminant;out;out;out;
Acacia ligulata;contaminant;out;out;out;
Acacia puncticulata;contaminant;out;out;out;
Acantholimon;contaminant;out;out;out;
Acantholimon festucaceum;contaminant;out;out;out;
Acer;contaminant;out;out;out;
Acer miaotaiense;contaminant;out;out;out;
Achyranthes;contaminant;out;out;out;
Aconitum;herbaceous;slightly acidic to slightly alkaline;https://pfaf.org/User/Plant.aspx?LatinName=Aconitum+kusnezoffii;;
Aconitum kusnezoffii;contaminant;out;out;out;
Actaea;herbaceous;unknown;out;out;
Actaea racemosa;contaminant;out;out;out;
Actinidia;contaminant;out;out;out;
Actinidia chinensis;contaminant;out;out;out;
Actinotus;contaminant;out;out;out;
Actinotus helianthi;contaminant;out;out;out;
Adelanthus;contaminant;out;out;out;
Aegiceras;contaminant;out;out;out;
Aegiceras corniculatum;contaminant;out;out;out;
Aegilops;contaminant;out;out;out;
Aegilops speltoides;contaminant;out;out;out;
Aegilops tauschii;contaminant;out;out;out;
Aeschynomene;contaminant;out;out;out;
Aeschynomene evenia;contaminant;out;out;out;
Agalinis;contaminant;out;out;out;
Agalinis homalantha;contaminant;out;out;out;
Agave;contaminant;out;out;out;
Agave tequilana;contaminant;out;out;out;
Ageratum;contaminant;out;out;out;
Ageratum conyzoides;contaminant;out;out;out;
Agropyron;grass;neutral;https://cdnsciencepub.com/doi/pdf/10.4141/S99-082;3;
Agropyron cristatum;contaminant;out;out;out;
Agrostemma;contaminant;out;out;out;
Agrostemma githago;contaminant;out;out;out;
Agrostis;grass;slightly acidic to slightly alkaline;https://pfaf.org/user/plant.aspx?latinname=agrostis;3;
Agrostis stolonifera;grass;slightly acidic to slightly alkaline;https://pfaf.org/user/plant.aspx?latinname=agrostis;3;
Ajuga;contaminant;out;out;out;
Ajuga ciliata;contaminant;out;out;out;
Ajuga reptans;contaminant;out;out;out;
Alangium;contaminant;out;out;out;
Alangium salviifolium;contaminant;out;out;out;
Albuca;contaminant;out;out;out;
Albuca bracteata;contaminant;out;out;out;
Alchemilla;herbaceous;neutral;https://horticulture.co.uk/alchemilla/;3;
Alhagi;contaminant;out;out;out;
Alhagi sparsifolia;contaminant;out;out;out;
Allium;contaminant;out;out;out;
Allium cepa;contaminant;out;out;out;
Alnus;tree;acidic;https://www.moorwissen.de/en/paludikultur/datenbanken/dppp/portrait.php?name=Alnus%20alnobetula;1;
Alnus alnobetula;tree;acidic;https://www.moorwissen.de/en/paludikultur/datenbanken/dppp/portrait.php?name=Alnus%20alnobetula;1;
Alnus glutinosa;contaminant;out;out;out;
Alopecurus;grass;neutral;https://www.sciencedirect.com/topics/agricultural-and-biological-sciences/alopecurus-pratensis;3;
Alopecurus myosuroides;contaminant;out;out;out;
Amana;contaminant;out;out;out;
Amana baohuaensis;contaminant;out;out;out;
Amborella;contaminant;out;out;out;
Amborella trichopoda;contaminant;out;out;out;
Amelanchier;contaminant;out;out;out;
Amelanchier asiatica;contaminant;out;out;out;
Amentotaxus;contaminant;out;out;out;
Amentotaxus formosana;contaminant;out;out;out;
Ammopiptanthus;contaminant;out;out;out;
Amphineurion;contaminant;out;out;out;
Amphineurion marginatum;contaminant;out;out;out;
Anacampseros;contaminant;out;out;out;
Anacampseros filamentosa;contaminant;out;out;out;
Ananas;contaminant;out;out;out;
Ananas comosus;contaminant;out;out;out;
Anchomanes;contaminant;out;out;out;
Anchomanes hookeri;contaminant;out;out;out;
Andreaea;contaminant;out;out;out;
Andreaea rupestris;contaminant;out;out;out;
Andreaea wangiana;contaminant;out;out;out;
Androsace;herbaceous;no preferences;https://darcyeverest.co.uk/product/androsace-sarmentosa/;out;
Anemone;herbaceous;moderate acid to neutral;;2;
Anemone taipaiensis;contaminant;out;out;out;
Aneura;moss;unknown;out;out;
Angelica;herbaceous;slightly acidic;https://www.thespruce.com/angelica-plant-growing-guide-5195323;2;
Angelica keiskei;contaminant;out;out;out;
Angelica morii;contaminant;out;out;out;
Anigozanthos;contaminant;out;out;out;
Anigozanthos sp. KH-2015;contaminant;out;out;out;
Annona;contaminant;out;out;out;
Anzhengxia;contaminant;out;out;out;
Anzhengxia yechengnica;contaminant;out;out;out;
Aphananthe;contaminant;out;out;out;
Aphananthe aspera;contaminant;out;out;out;
Aphyllon;contaminant;out;out;out;
Aphyllon epigalium;contaminant;out;out;out;
Apium;contaminant;out;out;out;
Apium graveolens;contaminant;out;out;out;
Aquilegia;contaminant;out;out;out;
Aquilegia coerulea;contaminant;out;out;out;
Arabidopsis;herbaceous;neutral?;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6663613/;3;
Arabidopsis arenosa;contaminant;out;out;out;
Arabidopsis cebennensis;contaminant;out;out;out;
Arabidopsis halleri;contaminant;out;out;out;
Arabidopsis kamchatica;contaminant;out;out;out;
