"";"Abies.sibirica_tree_2";"Abies_tree_2";"Agrostis.stolonifera_grass_3";"Alnus.alnobetula_tree_1";"Alnus_tree_1";"Alopecurus_grass_3";"Androsace_herbaceous_out";"Arabidopsis.lyrata_herbaceous_3";"Arabidopsis_herbaceous_3";"Arabis.alpina_herbaceous_2";"Avena.sativa_grass_1";"Avena_grass_1";"Betula.pendula_shrub_1";"Betula.platyphylla_shrub_1";"Betula_shrub_1";"Bistorta.officinalis_herbaceous_3";"Bistorta.vivipara_herbaceous_3";"Bistorta_herbaceous_3";"Brassica.napus_herbaceous_2";"Brassica.oleracea_herbaceous_2";"Brassica.rapa_herbaceous_2";"Brassica_herbaceous_2";"Bromus_grass_3";"Bryum.argenteum_moss_3";"Caltha.palustris_herbaceous_3";"Caltha_herbaceous_3";"Cardamine_herbaceous_5";"Carex.myosuroides_grass_2";"Carex.nigra_grass_2";"Carex.pallescens_grass_2";"Carex.rupestris_grass_2";"Carex_grass_2";"Cassiope_herbaceous_3";"Chamaenerion.angustifolium_herbaceous_3";"Chamaenerion_herbaceous_3";"Chrysanthemum.boreale_herbaceous_2";"Chrysanthemum_herbaceous_2";"Cirsium_herbaceous_3";"Cuscuta_herbaceous_3";"Deschampsia_grass_2";"Dianthus_herbaceous_2";"Distichium_moss_out";"Draba_herbaceous_4";"Dryas.grandis_herbaceous_3";"Dryas.integrifolia.x.Dryas.octopetala_herbaceous_3";"Dryas.octopetala_herbaceous_3";"Dryas_herbaceous_3";"Dryopteris.fragrans_fern_2";"Dryopteris_fern_2";"Equisetum.arvense_herbaceous_2";"Equisetum_herbaceous_2";"Erigeron_herbaceous_3";"Eriophorum.angustifolium_herbaceous_1";"Eriophorum_herbaceous_1";"Eritrichium_herbaceous_3";"Festuca_grass_pH.tolerant";"Fragaria.vesca_herbaceous_3";"Fragaria_herbaceous_3";"Geranium_herbaceous_2";"Geum_herbaceous_2";"Hedysarum.consanguineum_herbaceous_3";"Hedysarum_herbaceous_3";"Juniperus.communis_shrub_2";"Juniperus_shrub_2";"Larix.sibirica_tree_1";"Larix_tree_1";"Linum.usitatissimum_herbaceous_out";"Linum_herbaceous_out";"Luzula_herbaceous_2";"Marchantia.polymorpha_moss_2";"Medicago_herbaceous_3";"Micranthes.integrifolia_herbaceous_3";"Micranthes_herbaceous_3";"Myosotis.alpestris_herbaceous_3";"Myosotis_herbaceous_3";"Oxygraphis.glacialis_herbaceous_1";"Oxyria.digyna_herbaceous_3";"Oxyria_herbaceous_3";"Papaver.nudicaule_herbaceous_3";"Papaver_herbaceous_3";"Pedicularis.oederi_herbaceous_3";"Pedicularis.verticillata_herbaceous_3";"Pedicularis_herbaceous_3";"Picea.abies_tree_1";"Picea_tree_1";"Pinus_tree_1";"Poa.palustris_grass_2";"Poa.pratensis_grass_2";"Poa_grass_2";"Polytrichastrum.alpinum_moss_unknown";"Polytrichum.commune_moss_3";"Polytrichum.juniperinum_moss_3";"Polytrichum_moss_3";"Populus.alba_shrub_3";"Populus.nigra_shrub_3";"Populus.tremula_shrub_3";"Populus_shrub_3";"Potentilla_herbaceous_2";"Pyrola.rotundifolia_herbaceous_3";"Pyrola_herbaceous_3";"Rhodiola_herbaceous_2";"Ribes_shrub_3";"Rumex.acetosa_herbaceous_1";"Rumex_herbaceous_unknown";"Salix.pentandra_shrub_2";"Salix.rorida_shrub_2";"Salix.sp._shrub_2";"Salix.triandra_shrub_2";"Salix.viminalis.x.Salix.schwerinii_shrub_2";"Salix.viminalis_shrub_2";"Salix_shrub_2";"Saussurea_herbaceous_3";"Saxifraga.cernua_herbaceous_4";"Saxifraga.sinomontana_herbaceous_4";"Saxifraga_herbaceous_4";"Silene.latifolia_herbaceous_1";"Silene_herbaceous_1";"Smelowskia_herbaceous_out";"Spiraea_shrub_2";"Taraxacum_herbaceous_2";"Thymus_herbaceous_2";"Trigonotis.peduncularis_herbaceous_out";"Triticum.aestivum_grass_3";"Triticum_grass_3";"Turritis.glabra_herbaceous_3";"Vaccinium.uliginosum_herbaceous_1";"Vaccinium.vitis.idaea_herbaceous_1";"Vaccinium_herbaceous_1";"Valeriana.officinalis_herbaceous_2";"Valeriana_herbaceous_2";"Veratrum_herbaceous_3";"Veronica_herbaceous_3";"Woodsia_fern_4"
"76";0;0;0;47,08;51,78;0;0;0;14,67;17,94;7,22;3,67;54,94;7,08;22,08;0;0;7,37;0;0;0;0;0;0;0;0;0;0;18,23;0;0;79,84;0;483,33;0;3,66;3,35;0;0;54,96;0;0;0;0;0;3,68;17,61;0;0;25,38;42,95;0;0;0;0;0;0;0;0;0;0;0;7,64;0;824,59;110,71;0;0;0;0;0;3,33;0;0;0;0;0;0;0;0;0;0;6,95;86,5;167,28;0;0;0;0;0;3,71;0;0;14,78;0;3,53;1161,15;7,99;0;0;0;0;10,77;0;7,34;0;0;0;0;0;461,07;0;0;0;0;0;0;0;0;0;0;0;7,11;0;0;0;0;0;0;3,73;0;0;0
"264";0;0;0;20,33;80,29;0;0;0;6,72;6,63;0;7,25;47,49;6,57;19,77;0;0;0;20,54;0;0;0;0;0;0;0;0;0;0;0;0;100,62;0;270,5;0;0;0;0;0;27,24;0;0;0;0;0;0;12,88;0;0;45,67;33,42;0;0;0;0;0;0;6,72;6,53;0;0;6,98;0;0;1487,42;126,88;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;107,38;93,75;0;0;13,74;0;0;0;0;0;6,69;0;0;704,63;0;0;0;0;0;0;0;33,41;0;0;0;0;13,62;472,66;0;0;0;20,77;0;0;0;0;0;0;0;6,84;6,71;0;0;0;13,59;0;20,76;0;0;0
"724";0;0;0;22,05;73,93;0;0;0;29,25;35,79;7,85;0;74,52;0;7,16;0;0;6,91;15,05;0;0;0;0;0;0;0;0;0;0;0;0;44,18;0;337,23;0;0;0;0;0;65,35;0;0;0;0;0;0;38,12;0;0;51,55;28,67;0;0;0;0;0;0;0;14,44;21,93;0;7,37;7,45;0;1179,2;132,38;0;0;0;7,48;0;7,03;0;0;0;0;0;0;0;0;0;0;0;116,14;206,24;0;0;0;0;0;6,98;0;0;7,27;0;0;744,49;14,51;7,39;0;0;0;0;7,34;14,81;0;0;0;0;7,22;449,43;0;0;0;21,6;0;0;0;0;0;0;0;7,62;21,84;0;0;0;0;0;0;0;0;7,23
"1212";0;0;0;22,35;74,19;0;0;0;28,53;0;0;0;140,94;5,54;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;28,53;0;319,75;0;0;0;0;0;28,7;0;0;0;0;0;0;11,39;5,84;0;22,65;28,21;0;0;0;0;0;0;0;5,47;0;0;0;0;0;1310,63;73,02;0;0;0;0;0;0;5,52;0;0;0;0;0;0;0;0;0;0;319,68;193,13;0;0;0;0;0;5,6;0;0;5,58;0;0;683,21;0;0;0;0;0;0;0;6,02;0;0;0;0;0;513,99;0;0;0;5,56;0;0;0;0;0;0;0;0;0;0;0;0;10,97;0;0;0;0;0
"1858";0;0;0;28,34;83,47;0;0;0;3,18;2,97;2,96;0;72,5;0;18,63;0;0;6,66;0;2,84;0;3,14;0;0;3,17;0;0;0;0;0;0;30,76;0;284,59;0;0;0;0;3,06;22,04;0;0;0;0;0;3,21;21,91;0;0;24,52;43,14;0;0;0;0;0;0;0;12,86;0;0;0;2,81;3,11;1397,95;85,78;0;0;0;0;0;0;0;0;0;0;0;0;0;6,63;0;0;0;224,46;169,69;0;0;0;0;0;0;0;0;12,6;0;0;802,29;0;5,96;0;0;0;3,09;0;12,82;0;0;0;0;0;422,45;0;0;0;5,97;0;0;0;0;0;0;0;6,71;9,19;0;0;0;9,54;0;0;0;0;0
"2504";0;0;0;35,5;66,99;0;0;0;11,21;3,59;0;0;77,14;11,6;26,92;0;0;3,95;0;0;0;0;0;3,86;0;0;0;0;4,15;0;0;38,8;0;348,17;0;0;0;0;0;19,84;0;0;0;0;0;0;15,63;0;0;47,25;51,79;0;0;0;0;0;0;0;8,49;0;0;0;0;0;1224,06;95,57;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;204,38;175,56;0;0;0;0;0;3,94;0;0;38,27;0;0;741,66;0;7,98;0;0;0;0;0;15,99;0;0;0;0;7,56;541,74;0;0;0;0;0;0;0;0;0;0;0;8,08;0;0;3,85;0;3,65;0;4,11;3,72;0;0
"3023";0;0;0;51,37;72,67;0;0;0;16,1;0;0;0;99,94;4;43,27;0;0;3,87;3,98;4,17;0;0;0;0;0;0;0;0;0;0;0;71,28;0;235,47;0;0;0;0;0;15,76;0;0;0;0;0;8,06;19,41;3,97;0;48,08;31,79;0;0;0;0;0;0;0;4,31;0;0;0;4,26;0;1000,93;67,07;0;0;0;0;0;0;0;0;0;0;0;0;0;3,99;0;0;0;264,31;209,14;4,23;0;0;0;0;0;0;0;8,27;0;0;891,3;0;4,04;0;0;0;0;0;8,14;0;0;0;3,47;0;612,53;0;0;0;15,32;0;0;0;0;0;0;0;4,15;3,92;0;0;4,23;8,2;0;0;0;0;0
"4381";0;0;0;71,04;102,94;0;0;0;0;6,54;0;0;113,66;3,29;38,18;0;0;3,28;0;0;0;6,84;0;0;6,83;0;0;0;0;0;0;44,18;0;200,57;0;0;0;0;0;9,91;0;0;0;0;0;3,35;10,46;0;9,64;10,12;40,68;0;0;0;0;0;0;0;6,83;0;0;3,64;0;0;870,95;66,48;3,4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;407,6;336,51;0;0;3,19;0;0;0;0;0;26,07;0;0;879,64;0;6,37;0;0;0;0;0;22,95;0;0;0;0;0;526,83;0;0;0;9,59;0;0;0;0;0;0;0;0;0;0;0;0;3,44;0;0;0;0;0
"5168";7,82;0;0;94,62;92,77;0;0;0;0;8,69;4,05;0;145,01;16,2;44,74;0;0;3,67;0;0;0;4,36;0;0;0;0;0;0;0;0;0;19,99;0;304,39;4,13;0;0;0;0;23,96;0;0;0;0;0;4,13;7,54;4,18;0;15,65;23,83;0;0;0;0;0;0;0;0;0;0;0;0;8,32;571,9;49,17;0;0;0;0;0;0;8,69;0;0;0;0;0;0;0;0;0;0;377,58;289,54;0;0;0;0;0;4,06;0;0;8,03;0;0;1142,74;0;8,17;0;0;0;0;0;12,04;0;0;0;0;12,56;516,54;0;0;0;8,1;0;0;0;7,83;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"6400";0;8,07;0;39,06;92,82;0;0;0;0;0;0;0;147,63;15;35,58;0;0;0;0;0;0;2,34;0;0;0;0;2,71;0;2,32;0;0;34,31;0;305,58;0;0;0;0;0;5,22;0;0;0;0;0;2,62;15,75;2,61;2,65;53,36;63,24;0;0;0;0;0;0;0;7,88;0;0;0;0;0;468,5;27,82;0;0;0;0;2,43;0;0;0;0;0;0;0;0;0;0;0;8,33;283,16;241,94;0;0;0;0;0;0;0;0;36,29;0;0;1373,51;0;12,66;2,59;0;0;0;0;7,32;0;0;0;0;7,44;530,74;0;0;0;5,59;0;0;0;2,96;0;0;0;0;2,49;0;0;0;0;0;0;2,48;0;0
