"";"Abies.sibirica_tree_2";"Abies_tree_2";"Agrostis.stolonifera_grass_3";"Alnus.alnobetula_tree_1";"Alnus_tree_1";"Alopecurus_grass_3";"Androsace_herbaceous_out";"Arabidopsis.lyrata_herbaceous_3";"Arabidopsis_herbaceous_3";"Arabis.alpina_herbaceous_2";"Avena.sativa_grass_1";"Avena_grass_1";"Betula.pendula_shrub_1";"Betula.platyphylla_shrub_1";"Betula_shrub_1";"Bistorta.officinalis_herbaceous_3";"Bistorta.vivipara_herbaceous_3";"Bistorta_herbaceous_3";"Brassica.napus_herbaceous_2";"Brassica.oleracea_herbaceous_2";"Brassica.rapa_herbaceous_2";"Brassica_herbaceous_2";"Bromus_grass_3";"Bryum.argenteum_moss_3";"Caltha.palustris_herbaceous_3";"Caltha_herbaceous_3";"Cardamine_herbaceous_5";"Carex.myosuroides_grass_2";"Carex.nigra_grass_2";"Carex.pallescens_grass_2";"Carex.rupestris_grass_2";"Carex_grass_2";"Cassiope_herbaceous_3";"Chamaenerion.angustifolium_herbaceous_3";"Chamaenerion_herbaceous_3";"Chrysanthemum.boreale_herbaceous_2";"Chrysanthemum_herbaceous_2";"Cirsium_herbaceous_3";"Cuscuta_herbaceous_3";"Deschampsia_grass_2";"Dianthus_herbaceous_2";"Distichium_moss_out";"Draba_herbaceous_4";"Dryas.grandis_herbaceous_3";"Dryas.integrifolia.x.Dryas.octopetala_herbaceous_3";"Dryas.octopetala_herbaceous_3";"Dryas_herbaceous_3";"Dryopteris.fragrans_fern_2";"Dryopteris_fern_2";"Equisetum.arvense_herbaceous_2";"Equisetum_herbaceous_2";"Erigeron_herbaceous_3";"Eriophorum.angustifolium_herbaceous_1";"Eriophorum_herbaceous_1";"Eritrichium_herbaceous_3";"Festuca_grass_pH.tolerant";"Fragaria.vesca_herbaceous_3";"Fragaria_herbaceous_3";"Geranium_herbaceous_2";"Geum_herbaceous_2";"Hedysarum.consanguineum_herbaceous_3";"Hedysarum_herbaceous_3";"Juniperus.communis_shrub_2";"Juniperus_shrub_2";"Larix.sibirica_tree_1";"Larix_tree_1";"Linum.usitatissimum_herbaceous_out";"Linum_herbaceous_out";"Luzula_herbaceous_2";"Marchantia.polymorpha_moss_2";"Medicago_herbaceous_3";"Micranthes.integrifolia_herbaceous_3";"Micranthes_herbaceous_3";"Myosotis.alpestris_herbaceous_3";"Myosotis_herbaceous_3";"Oxygraphis.glacialis_herbaceous_1";"Oxyria.digyna_herbaceous_3";"Oxyria_herbaceous_3";"Papaver.nudicaule_herbaceous_3";"Papaver_herbaceous_3";"Pedicularis.oederi_herbaceous_3";"Pedicularis.verticillata_herbaceous_3";"Pedicularis_herbaceous_3";"Picea.abies_tree_1";"Picea_tree_1";"Pinus_tree_1";"Poa.palustris_grass_2";"Poa.pratensis_grass_2";"Poa_grass_2";"Polytrichastrum.alpinum_moss_unknown";"Polytrichum.commune_moss_3";"Polytrichum.juniperinum_moss_3";"Polytrichum_moss_3";"Populus.alba_shrub_3";"Populus.nigra_shrub_3";"Populus.tremula_shrub_3";"Populus_shrub_3";"Potentilla_herbaceous_2";"Pyrola.rotundifolia_herbaceous_3";"Pyrola_herbaceous_3";"Rhodiola_herbaceous_2";"Ribes_shrub_3";"Rumex.acetosa_herbaceous_1";"Rumex_herbaceous_unknown";"Salix.pentandra_shrub_2";"Salix.rorida_shrub_2";"Salix.sp._shrub_2";"Salix.triandra_shrub_2";"Salix.viminalis.x.Salix.schwerinii_shrub_2";"Salix.viminalis_shrub_2";"Salix_shrub_2";"Saussurea_herbaceous_3";"Saxifraga.cernua_herbaceous_4";"Saxifraga.sinomontana_herbaceous_4";"Saxifraga_herbaceous_4";"Silene.latifolia_herbaceous_1";"Silene_herbaceous_1";"Smelowskia_herbaceous_out";"Spiraea_shrub_2";"Taraxacum_herbaceous_2";"Thymus_herbaceous_2";"Trigonotis.peduncularis_herbaceous_out";"Triticum.aestivum_grass_3";"Triticum_grass_3";"Turritis.glabra_herbaceous_3";"Vaccinium.uliginosum_herbaceous_1";"Vaccinium.vitis.idaea_herbaceous_1";"Vaccinium_herbaceous_1";"Valeriana.officinalis_herbaceous_2";"Valeriana_herbaceous_2";"Veratrum_herbaceous_3";"Veronica_herbaceous_3";"Woodsia_fern_4"
"53";0;0;0;43,51;45,95;0;0;0;13,28;16,78;6,58;3,05;49,67;6,37;20,12;0;0;6,81;0;0;0;0;0;0;0;0;0;0;16,68;0;0;74,46;0;446,3;0;3,3;3,41;0;0;49,8;0;0;0;0;0;3,2;16,88;0;0;23,22;39,94;0;0;0;0;0;0;0;0;0;0;0;6,59;0;756,56;99,96;0;0;0;0;0;3,48;0;0;0;0;0;0;0;0;0;0;6,25;80,73;155,51;0;0;0;0;0;3,22;0;0;13,38;0;3,44;1060,46;6,9;0;0;0;0;9,75;0;7,01;0;0;0;0;0;420,61;0;0;0;0;0;0;0;0;0;0;0;6,28;0;0;0;0;0;0;3,56;0;0;0
"260";0;0;0;18,77;75,05;0;0;0;5,89;6,08;0;6,32;43,33;6,09;18,42;0;0;0;18,94;0;0;0;0;0;0;0;0;0;0;0;0;92,3;0;248,23;0;0;0;0;0;25,65;0;0;0;0;0;0;12,51;0;0;43,03;30,85;0;0;0;0;0;0;6,14;6,16;0;0;5,98;0;0;1361,45;117,79;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;98,27;85,46;0;0;11,93;0;0;0;0;0;6,43;0;0;643,18;0;0;0;0;0;0;0;31,58;0;0;0;0;12,54;432,8;0;0;0;18,24;0;0;0;0;0;0;0;6,02;6,25;0;0;0;12,46;0;18,86;0;0;0
"712";0;0;0;20,48;65,94;0;0;0;26,79;33,5;6,79;0;67,11;0;6,58;0;0;6,92;14,1;0;0;0;0;0;0;0;0;0;0;0;0;40,34;0;310,97;0;0;0;0;0;60,21;0;0;0;0;0;0;33,69;0;0;45,91;27,34;0;0;0;0;0;0;0;13,37;20,52;0;6,88;6,43;0;1077,03;120,5;0;0;0;6,7;0;6,78;0;0;0;0;0;0;0;0;0;0;0;108,5;186,83;0;0;0;0;0;7,13;0;0;6,75;0;0;681,91;13,73;6,88;0;0;0;0;6,43;12,99;0;0;0;0;6,6;416,66;0;0;0;19,89;0;0;0;0;0;0;0;6,72;20,22;0;0;0;0;0;0;0;0;6,88
"1195";0;0;0;20,46;66,64;0;0;0;25,46;0;0;0;128,93;5,05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;26,1;0;297,24;0;0;0;0;0;26,31;0;0;0;0;0;0;10,15;5,14;0;20,84;26,72;0;0;0;0;0;0;0;5,29;0;0;0;0;0;1196,74;69,21;0;0;0;0;0;0;5,14;0;0;0;0;0;0;0;0;0;0;291,81;175,61;0;0;0;0;0;5,16;0;0;5,15;0;0;625,65;0;0;0;0;0;0;0;5,3;0;0;0;0;0;474,22;0;0;0;4,86;0;0;0;0;0;0;0;0;0;0;0;0;9,82;0;0;0;0;0
"1817";0;0;0;25,73;76,84;0;0;0;2,71;2,91;2,86;0;66,24;0;17,12;0;0;5,83;0;2,77;0;3,09;0;0;2,63;0;0;0;0;0;0;29,23;0;258,72;0;0;0;0;3,04;20,46;0;0;0;0;0;3,08;19,52;0;0;22,51;39,72;0;0;0;0;0;0;0;11,17;0;0;0;3,01;2,94;1279,75;79,29;0;0;0;0;0;0;0;0;0;0;0;0;0;5,57;0;0;0;204,98;156,34;0;0;0;0;0;0;0;0;11,6;0;0;734,26;0;6,11;0;0;0;2,94;0;11,9;0;0;0;0;0;389,14;0;0;0;5,75;0;0;0;0;0;0;0;5,98;8,62;0;0;0;8,64;0;0;0;0;0
"2482";0;0;0;32,44;61,12;0;0;0;11,08;3,46;0;0;71,93;10,45;25,17;0;0;3,57;0;0;0;0;0;3,44;0;0;0;0;3,49;0;0;36,44;0;321,77;0;0;0;0;0;17,97;0;0;0;0;0;0;14,67;0;0;42,5;47,53;0;0;0;0;0;0;0;7,25;0;0;0;0;0;1125,92;85,45;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;188,74;158,75;0;0;0;0;0;3,63;0;0;36,07;0;0;676,86;0;7,33;0;0;0;0;0;13,85;0;0;0;0;7,38;492,05;0;0;0;0;0;0;0;0;0;0;0;7,25;0;0;3,59;0;4,13;0;3,81;3,91;0;0
"3025";0;0;0;46,98;65,91;0;0;0;14,62;0;0;0;90,85;3,8;40,22;0;0;3,67;3,87;3,55;0;0;0;0;0;0;0;0;0;0;0;65,49;0;216,24;0;0;0;0;0;14,9;0;0;0;0;0;7,56;17,7;3,83;0;44,24;29,66;0;0;0;0;0;0;0;3,49;0;0;0;3,68;0;917,57;61,31;0;0;0;0;0;0;0;0;0;0;0;0;0;3,8;0;0;0;240,79;190,51;3,47;0;0;0;0;0;0;0;7,01;0;0;816,08;0;3,6;0;0;0;0;0;6,95;0;0;0;4,11;0;564,57;0;0;0;14,6;0;0;0;0;0;0;0;3,31;3,68;0;0;3,68;7,7;0;0;0;0;0
"4322";0;0;0;64,17;94,14;0;0;0;0;6,5;0;0;103,23;3,21;32,83;0;0;3,19;0;0;0;5,94;0;0;6,5;0;0;0;0;0;0;39,85;0;183,74;0;0;0;0;0;9,32;0;0;0;0;0;2,98;9,3;0;8,58;9,34;37,18;0;0;0;0;0;0;0;6,14;0;0;3,22;0;0;799,92;61,52;2,9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;371,36;309,24;0;0;2,98;0;0;0;0;0;25,5;0;0;809,94;0;5,89;0;0;0;0;0;20,48;0;0;0;0;0;482,53;0;0;0;8,46;0;0;0;0;0;0;0;0;0;0;0;0;2,92;0;0;0;0;0
"5149";7,68;0;0;89,05;85,32;0;0;0;0;7,41;3,37;0;132,31;14,52;39,86;0;0;3,7;0;0;0;4;0;0;0;0;0;0;0;0;0;19,02;0;278,91;3,81;0;0;0;0;22,87;0;0;0;0;0;3,52;7,01;3,65;0;14,71;22,47;0;0;0;0;0;0;0;0;0;0;0;0;7,89;522,06;43,62;0;0;0;0;0;0;7,08;0;0;0;0;0;0;0;0;0;0;342,18;264,67;0;0;0;0;0;3,6;0;0;7,97;0;0;1047,57;0;7,39;0;0;0;0;0;10,83;0;0;0;0;11,39;478,12;0;0;0;7,76;0;0;0;7,68;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"6379";0;6,76;0;35,67;85,69;0;0;0;0;0;0;0;133,17;13,93;32,77;0;0;0;0;0;0;2,29;0;0;0;0;2,23;0;2,59;0;0;31,16;0;279,04;0;0;0;0;0;4,85;0;0;0;0;0;2,48;14,06;2,42;2,35;49,56;58,72;0;0;0;0;0;0;0;6,82;0;0;0;0;0;425,6;25,93;0;0;0;0;2,44;0;0;0;0;0;0;0;0;0;0;0;7,31;258,99;223,6;0;0;0;0;0;0;0;0;33,17;0;0;1261,7;0;11,78;2,49;0;0;0;0;7,15;0;0;0;0;7,01;488,36;0;0;0;4,06;0;0;0;2,4;0;0;0;0;2,23;0;0;0;0;0;0;2,22;0;0
