age;Abies_tree_2;Abies sibirica_tree_2;Agrostis stolonifera_grass_3;Alnus_tree_1;Alnus alnobetula_tree_1;Alopecurus_grass_3;Androsace_herbaceous_out;Arabidopsis_herbaceous_3;Arabidopsis lyrata_herbaceous_3;Arabis alpina_herbaceous_2;Avena_grass_1;Avena sativa_grass_1;Betula_shrub_1;Betula pendula_shrub_1;Betula platyphylla_shrub_1;Bistorta_herbaceous_3;Bistorta officinalis_herbaceous_3;Bistorta vivipara_herbaceous_3;Brassica_herbaceous_2;Brassica napus_herbaceous_2;Brassica oleracea_herbaceous_2;Brassica rapa_herbaceous_2;Bromus_grass_3;Bryum argenteum_moss_3;Caltha_herbaceous_3;Caltha palustris_herbaceous_3;Cardamine_herbaceous_5;Carex_grass_2;Carex myosuroides_grass_2;Carex nigra_grass_2;Carex pallescens_grass_2;Carex rupestris_grass_2;Cassiope_herbaceous_3;Chamaenerion_herbaceous_3;Chamaenerion angustifolium_herbaceous_3;Chrysanthemum_herbaceous_2;Chrysanthemum boreale_herbaceous_2;Cirsium_herbaceous_3;Cuscuta_herbaceous_3;Deschampsia_grass_2;Dianthus_herbaceous_2;Distichium_moss_out;Draba_herbaceous_4;Dryas_herbaceous_3;Dryas grandis_herbaceous_3;Dryas integrifolia x Dryas octopetala_herbaceous_3;Dryas octopetala_herbaceous_3;Dryopteris_fern_2;Dryopteris fragrans_fern_2;Equisetum_herbaceous_2;Equisetum arvense_herbaceous_2;Erigeron_herbaceous_3;Eriophorum_herbaceous_1;Eriophorum angustifolium_herbaceous_1;Eritrichium_herbaceous_3;Festuca_grass_pH tolerant;Fragaria_herbaceous_3;Fragaria vesca_herbaceous_3;Geranium_herbaceous_2;Geum_herbaceous_2;Hedysarum_herbaceous_3;Hedysarum consanguineum_herbaceous_3;Juniperus_shrub_2;Juniperus communis_shrub_2;Larix_tree_1;Larix sibirica_tree_1;Linum_herbaceous_out;Linum usitatissimum_herbaceous_out;Luzula_herbaceous_2;Marchantia polymorpha_moss_2;Medicago_herbaceous_3;Micranthes_herbaceous_3;Micranthes integrifolia_herbaceous_3;Myosotis_herbaceous_3;Myosotis alpestris_herbaceous_3;Oxygraphis glacialis_herbaceous_1;Oxyria_herbaceous_3;Oxyria digyna_herbaceous_3;Papaver_herbaceous_3;Papaver nudicaule_herbaceous_3;Pedicularis_herbaceous_3;Pedicularis oederi_herbaceous_3;Pedicularis verticillata_herbaceous_3;Picea_tree_1;Picea abies_tree_1;Pinus_tree_1;Poa_grass_2;Poa palustris_grass_2;Poa pratensis_grass_2;Polytrichastrum alpinum_moss_unknown;Polytrichum_moss_3;Polytrichum commune_moss_3;Polytrichum juniperinum_moss_3;Populus_shrub_3;Populus alba_shrub_3;Populus nigra_shrub_3;Populus tremula_shrub_3;Potentilla_herbaceous_2;Pyrola_herbaceous_3;Pyrola rotundifolia_herbaceous_3;Rhodiola_herbaceous_2;Ribes_shrub_3;Rumex_herbaceous_unknown;Rumex acetosa_herbaceous_1;Salix_shrub_2;Salix pentandra_shrub_2;Salix rorida_shrub_2;Salix sp._shrub_2;Salix triandra_shrub_2;Salix viminalis_shrub_2;Salix viminalis x Salix schwerinii_shrub_2;Saussurea_herbaceous_3;Saxifraga_herbaceous_4;Saxifraga cernua_herbaceous_4;Saxifraga sinomontana_herbaceous_4;Silene_herbaceous_1;Silene latifolia_herbaceous_1;Smelowskia_herbaceous_out;Spiraea_shrub_2;Taraxacum_herbaceous_2;Thymus_herbaceous_2;Trigonotis peduncularis_herbaceous_out;Triticum_grass_3;Triticum aestivum_grass_3;Turritis glabra_herbaceous_3;Vaccinium_herbaceous_1;Vaccinium uliginosum_herbaceous_1;Vaccinium vitis-idaea_herbaceous_1;Valeriana_herbaceous_2;Valeriana officinalis_herbaceous_2;Veratrum_herbaceous_3;Veronica_herbaceous_3;Woodsia_fern_4
9157;6;0;0;110;75;0;0;9;0;1;0;5;67;205;14;12;0;1;0;0;0;2;0;0;1;4;1;75;0;0;0;0;0;1;504;1;0;0;0;10;0;0;0;49;0;0;9;12;7;55;52;0;0;0;0;0;1;0;7;0;3;0;0;0;94;1018;0;0;0;1;3;0;0;0;0;0;0;0;0;0;5;0;0;306;187;1;0;0;2;0;0;0;0;2423;159;0;1;7;0;0;0;3;0;0;616;21;0;0;0;5;0;0;6;0;0;0;0;0;3;0;0;0;3;4;0;3;0;1;0;0;1;2;0
15125;1;0;0;4;2;0;0;8;1;2;0;0;1;29;1;22;0;1;1;0;1;0;1;0;0;1;0;51;0;0;0;0;0;2;385;0;0;0;0;3;0;0;1;95;0;1;11;0;0;3;1;0;0;0;0;0;1;0;0;1;1;0;0;0;3;4;0;0;1;0;3;0;1;0;0;0;0;0;0;0;3;1;0;3;4;2;0;0;3;0;0;1;0;574;18;0;0;3;0;0;0;0;0;1;431;7;0;0;0;2;2;0;6;0;0;0;0;0;0;0;0;0;2;3;0;1;0;0;1;0;0;0;0
10086;0;0;0;172;102;0;1;14;0;2;2;0;137;407;34;13;0;0;0;0;1;0;0;0;0;3;0;78;0;1;0;0;0;2;623;0;0;1;0;14;0;0;2;45;0;0;4;2;4;52;53;0;0;0;0;0;1;0;8;0;6;0;0;2;178;2124;0;1;0;0;3;0;0;0;0;0;0;2;1;0;2;0;0;18;21;0;0;0;0;0;0;0;0;5457;367;0;9;2;0;8;0;2;0;0;1292;44;0;0;0;17;1;0;7;0;0;0;0;0;24;0;0;0;3;5;0;3;0;3;4;0;0;1;0
16079;0;1;0;15;15;0;0;24;1;7;3;0;11;50;4;85;1;0;5;0;0;0;0;0;1;1;0;131;0;2;0;0;0;6;953;0;2;0;0;12;0;0;2;549;0;1;47;0;1;7;1;0;1;0;0;0;108;2;0;0;16;0;0;0;1;8;0;0;0;0;10;4;0;1;0;0;0;0;3;0;15;1;0;4;4;6;0;0;5;0;1;4;0;2329;63;0;0;512;0;2;0;0;1;1;1426;48;0;0;0;11;2;1;38;0;0;1;1;1;0;1;0;0;11;6;1;3;0;0;2;0;0;0;1
20620;3;0;0;56;32;1;3;64;0;12;6;32;39;160;9;187;2;5;6;1;0;1;0;0;3;3;0;247;0;9;0;0;1;14;4312;1;2;0;3;20;0;0;1;903;1;3;91;5;4;20;11;0;0;0;1;0;3;1;0;7;44;0;0;0;6;26;1;3;1;0;22;4;0;0;1;0;1;1;7;0;52;3;0;3;11;0;0;0;6;2;0;2;2;8980;213;0;1;27;0;5;1;2;5;13;3582;113;0;3;0;45;4;3;136;1;2;1;2;0;0;1;0;1;14;22;0;11;0;0;5;0;0;0;0
21057;1;1;2;18;14;0;1;31;0;13;5;0;25;89;1;89;1;1;3;0;1;0;2;0;0;1;0;111;0;3;0;0;0;6;2201;0;3;0;0;23;0;0;1;411;1;5;53;4;3;7;2;0;0;0;0;1;4;0;0;6;22;0;0;0;2;16;0;0;0;0;8;1;0;0;0;0;0;0;6;0;28;2;0;2;6;2;3;0;5;0;0;3;0;5110;128;1;0;19;0;0;2;0;2;4;1840;76;1;0;0;19;1;2;57;0;2;1;3;0;0;1;0;0;19;11;0;5;0;0;4;0;0;0;0
14667;1;0;0;10;9;0;0;21;0;1;1;4;3;9;0;25;0;0;3;0;2;0;0;0;0;2;0;67;1;0;0;0;0;0;283;0;1;0;0;5;0;1;0;2430;0;0;36;0;0;1;3;1;0;0;1;0;2;0;0;4;9;0;0;0;1;6;0;2;0;0;3;0;0;0;0;1;1;0;2;0;5;0;0;0;0;0;0;0;1;0;0;0;0;550;12;0;0;6;0;0;0;0;0;1;459;5;0;0;0;2;0;0;44;0;0;0;1;0;0;0;1;0;5;2;0;2;0;0;1;0;0;0;0
8491;1;0;0;53;32;0;0;4;0;0;0;0;33;105;11;8;0;0;0;0;1;0;0;0;0;1;0;36;0;0;0;0;0;0;268;2;0;0;2;3;0;0;0;7;0;0;2;0;1;44;19;0;0;0;0;0;0;0;4;0;0;0;1;0;59;934;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;212;242;1;0;0;0;0;0;1;0;1219;47;0;1;3;1;3;0;3;0;0;371;15;0;0;0;5;1;0;4;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;2;0;0
17948;1;0;0;16;20;1;1;28;0;7;2;23;14;74;5;117;0;0;8;2;1;2;0;0;1;4;0;150;1;3;1;1;0;6;2203;0;1;0;1;14;0;0;1;8884;2;8;300;1;4;9;8;1;0;0;0;0;10;3;0;5;30;0;0;0;4;7;1;0;1;0;11;2;0;0;0;1;2;2;4;0;34;1;0;2;0;0;0;0;8;0;1;0;1;5547;99;0;0;34;0;0;1;0;1;4;2267;76;0;1;1;27;0;1;74;1;4;1;1;0;0;0;1;1;79;35;0;2;1;0;7;1;0;0;0
19590;0;1;0;17;4;0;2;26;0;7;2;20;7;59;3;81;0;1;0;0;0;0;0;0;1;8;0;204;2;7;0;0;0;3;859;0;0;0;1;16;0;0;0;439;0;1;22;3;2;8;8;0;0;0;0;3;3;0;0;3;25;0;0;0;0;9;0;2;1;0;13;2;0;0;0;0;0;0;3;0;12;1;0;0;3;1;1;2;6;0;1;3;0;2771;57;1;0;14;0;3;1;0;1;3;1775;38;2;0;0;17;0;0;45;0;0;1;2;0;0;1;0;1;30;17;0;6;0;0;5;0;0;0;1
