depth	min	max	median	mean
0	-53	-41	-47	-47
1	-48	-20	-38	-37
2	-46	6	-30	-27
3	-45	32	-21	-17
4	-43	58	-13	-7
5	-42	84	-4	3
6	-41	110	4	13
7	-40	136	13	23
8	-39	162	21	33
9	-37	189	30	43
10	-36	215	38	53
11	-20	222	51	65
12	-10	229	63	77
13	-1	237	76	89
14	6	246	90	101
15	13	258	102	113
16	18	271	114	125
17	22	287	126	136
18	27	306	139	148
19	31	326	151	160
20	35	350	163	172
21	51	355	175	184
22	65	361	189	196
23	75	369	202	208
24	85	375	216	220
25	93	381	230	232
26	99	390	243	243
27	106	399	256	255
28	113	410	269	267
29	119	423	282	279
30	125	440	293	291
31	147	442	305	302
32	168	445	316	314
33	188	448	328	326
34	206	452	341	337
35	220	456	355	349
36	234	459	369	361
37	244	464	383	372
38	253	470	397	384
39	260	477	410	395
40	269	487	423	407
41	303	494	443	425
42	330	504	463	444
43	343	532	479	462
44	351	571	493	480
45	357	615	505	499
46	363	660	517	517
47	368	707	531	535
48	373	755	546	554
49	378	801	561	572
50	384	850	575	590
51	410	862	596	611
52	432	876	618	631
53	450	890	639	651
54	466	904	663	671
55	482	921	687	691
56	492	940	710	712
57	504	960	731	732
58	513	990	753	752
59	519	1023	774	772
60	526	1061	794	792
61	554	1069	812	811
62	582	1076	829	829
63	605	1086	848	847
64	622	1097	869	865
65	638	1111	889	884
66	654	1124	909	902
67	664	1139	930	920
68	674	1156	948	938
69	685	1178	968	956
70	696	1203	986	975
71	740	1207	1004	995
72	784	1211	1023	1015
73	827	1215	1041	1036
74	869	1220	1059	1056
75	907	1225	1078	1076
76	945	1230	1098	1097
77	981	1237	1118	1117
78	1015	1245	1139	1137
79	1044	1255	1158	1158
80	1067	1271	1178	1178
81	1093	1309	1218	1213
82	1110	1363	1252	1247
83	1126	1422	1284	1282
84	1139	1481	1317	1316
85	1149	1546	1350	1351
86	1159	1615	1382	1385
87	1170	1684	1413	1419
88	1176	1757	1445	1454
89	1183	1828	1477	1488
90	1190	1899	1510	1523
91	1245	1907	1544	1556
92	1297	1916	1578	1588
93	1344	1926	1613	1621
94	1383	1936	1648	1654
95	1416	1948	1685	1686
96	1448	1962	1724	1719
97	1478	1980	1762	1752
98	1507	1997	1798	1785
99	1530	2027	1833	1817
100	1549	2067	1868	1850
101	1634	2074	1897	1885
102	1714	2085	1928	1920
103	1792	2099	1958	1955
104	1859	2114	1990	1990
105	1900	2138	2025	2025
106	1934	2190	2059	2060
107	1956	2264	2091	2095
108	1969	2335	2122	2130
109	1981	2411	2152	2165
110	1992	2491	2182	2200
111	2021	2514	2209	2227
112	2043	2536	2237	2253
113	2060	2560	2266	2280
114	2073	2594	2295	2307
115	2083	2630	2326	2334
116	2093	2669	2355	2360
117	2102	2714	2381	2387
118	2109	2757	2408	2414
119	2119	2816	2432	2441
120	2126	2868	2457	2468
121	2165	2880	2485	2495
122	2197	2893	2515	2523
123	2225	2906	2546	2551
124	2249	2921	2577	2579
125	2267	2946	2609	2607
126	2286	2965	2642	2635
127	2303	2991	2673	2663
128	2316	3025	2703	2691
129	2327	3058	2732	2719
130	2339	3098	2759	2747
131	2403	3107	2783	2775
132	2465	3117	2809	2802
133	2524	3128	2834	2830
134	2582	3140	2858	2858
135	2641	3155	2883	2886
136	2687	3172	2908	2914
137	2729	3194	2935	2942
138	2762	3217	2963	2969
139	2786	3250	2991	2997
140	2808	3293	3018	3025
141	2848	3327	3059	3067
142	2876	3380	3101	3108
143	2897	3458	3139	3150
144	2911	3556	3176	3191
145	2922	3660	3211	3233
146	2934	3768	3243	3274
147	2942	3877	3276	3316
148	2950	3989	3309	3357
149	2959	4102	3342	3399
150	2967	4219	3373	3440
151	3013	4238	3416	3481
152	3047	4266	3464	3522
153	3071	4294	3512	3563
154	3096	4336	3560	3604
155	3114	4367	3608	3645
156	3135	4412	3656	3685
157	3154	4463	3697	3726
158	3169	4517	3740	3767
159	3184	4590	3780	3808
160	3199	4660	3820	3849
161	3253	4694	3867	3896
162	3292	4728	3915	3944
163	3328	4762	3966	3991
164	3353	4795	4020	4038
165	3380	4848	4068	4085
166	3401	4910	4118	4133
167	3415	4980	4165	4180
168	3433	5066	4211	4227
169	3449	5157	4254	4274
170	3468	5263	4295	4322
171	3526	5283	4337	4364
172	3572	5302	4382	4407
173	3625	5330	4431	4449
174	3663	5359	4478	4492
175	3696	5382	4526	4535
176	3722	5410	4576	4577
177	3749	5445	4625	4620
178	3775	5478	4673	4662
179	3797	5529	4716	4705
180	3817	5576	4760	4747
181	3878	5599	4806	4788
182	3931	5613	4847	4828
183	3970	5632	4891	4868
184	4010	5655	4935	4908
185	4048	5682	4981	4948
186	4079	5709	5025	4988
187	4110	5728	5070	5028
188	4137	5769	5115	5069
189	4161	5808	5160	5109
190	4190	5849	5208	5149
191	4271	5858	5243	5190
192	4356	5870	5282	5232
193	4413	5884	5326	5273
194	4477	5899	5366	5315
195	4525	5917	5409	5356
196	4567	5934	5456	5397
197	4601	5954	5500	5439
198	4643	5978	5542	5480
199	4669	6009	5589	5522
200	4691	6044	5632	5563
201	4827	6053	5668	5607
202	4956	6063	5705	5651
203	5087	6071	5738	5694
204	5212	6080	5773	5738
205	5337	6090	5808	5782
206	5455	6104	5843	5826
207	5566	6115	5877	5869
208	5661	6129	5913	5913
209	5736	6148	5952	5957
210	5777	6179	5992	6000
211	5805	6196	6015	6026
212	5837	6227	6044	6052
213	5868	6265	6074	6078
214	5904	6305	6103	6104
215	5928	6352	6127	6130
216	5940	6402	6151	6156
217	5952	6464	6176	6182
218	5958	6526	6198	6207
219	5967	6591	6219	6233
220	5974	6656	6240	6259
221	6005	6670	6265	6283
222	6031	6683	6289	6307
223	6048	6700	6316	6331
224	6062	6720	6343	6355
225	6074	6745	6369	6379
226	6086	6769	6394	6403
227	6096	6800	6419	6426
228	6106	6833	6442	6450
229	6115	6874	6465	6474
230	6125	6916	6490	6498
231	6162	6927	6512	6522
232	6194	6940	6537	6545
233	6223	6954	6561	6569
234	6251	6967	6586	6593
235	6272	6986	6613	6616
236	6291	7004	6640	6640
237	6308	7025	6666	6663
238	6326	7048	6691	6687
239	6335	7074	6716	6710
