sample	age
76	76
264	264
724	724
1212	1212
1858	1858
2504	2504
3023	3023
4381	4381
5168	5168
6400	6400
6890	6890
7562	7562
8513	8513
9190	9190
9816	9816
10091	10091
10428	10428
11536	11536
11791	11791
12992	12992
13588	13588
13746	13746
13930	13930
14020	14020
14315	14315
14669	14669
15123	15123
15599	15599
16084	16084
16541	16541
16946	16946
17222	17222
17948	17948
18715	18715
19192	19192
19593	19593
20059	20059
20630	20630
21068	21068
21753	21753
22518	22518
22982	22982
